Tytuł,Lokalizacja,Wynagrodzenie od (PLN),Wynagrodzenie do (PLN)
Java Developer,Warszawa,22 000,27 000
Java Developer,Warszawa,23 100,27 300
Java Developer,Warszawa,22 000,27 000
Senior Java Developer,Warszawa,30 000,35 000
Senior Java Developer,Warszawa,30 000,35 000
Java Developer,Warszawa,15 120,20 160
Mid Java Developer,Lodz,15 000,20 000
Senior Java Developer,Kraków,23 520,30 240
Java Developer,Zdalnie,13 000,17 500
Java Developer,Zdalnie,13 427,18 592
Java Developer,Zabierzow,13 500,23 000
Java Developer,Zdalnie,26 880,30 240
Java Developer,Lodz,18 480,21 840
Java Developer,Kraków,23 100,27 300
Mid Java Developer,Zdalnie,13 440,16 800
Junior Java Developer,Zdalnie,9 240,11 760
Java Developer,Poznań,13 440,16 800
Senior Java Developer,Warszawa,15 000,22 000
Java Developer,Zdalnie,13 440,18 480
Java Developer,Warszawa,27 720,32 760
Senior Java Developer,Zdalnie,20 666,28 416
Senior Java Developer,Warszawa,21 000,25 200
Java Developer,Kraków,18 000,25 000
Java Developer,Warszawa,16 800,18 480
Java Developer,Kraków,18 000,28 000
Java Developer,Poznań,20 000,23 500
Java Developer,Warszawa,14 000,22 000
Senior Java Developer,Kraków,11 000,17 000
Java Developer,Warszawa,24 360,26 880
Java Developer,Kraków,20 160,26 880
Java Developer,Zdalnie,23 520,
Java Developer,Warszawa,28 560,
Java Developer,Warszawa,26 880,
Mid Java Developer,Warszawa,13 000,20 000
Senior Java Developer,Zdalnie,25 278,30 333
Senior Java Developer,Zdalnie,30 240,
Java Developer,Zdalnie,21 840,25 200
Junior Java Developer,Warszawa,8 000,12 000
Java Developer,Zdalnie,22 649,28 311
Senior Java Developer,Zdalnie,20 160,23 520
Java Developer,Zdalnie,18 480,25 200
Senior Java Developer,Zdalnie,20 000,25 000
Java Developer,Kraków,15 100,20 762
Senior Java Developer,Zdalnie,25 000,35 000
Mid Java Developer,Zdalnie,18 000,25 000
Java Developer,Warszawa,27 000,29 000
Java Developer,Warszawa,29 400,35 700
Java Developer,Zdalnie,20 160,23 520
Senior Java Developer,Zdalnie,21 840,23 520
Senior Java Developer,Warszawa,18 000,26 000
Java Developer,Poznań,15 120,17 472
Senior Java Developer,Warszawa,27 000,30 000
Senior Java Developer,Kraków,27 300,32 550
Senior Java Developer,Zdalnie,28 638,30 547
Senior Java Developer,Warszawa,27 720,32 760
Senior Java Developer,Warszawa,25 000,35 000
Java Developer,Zdalnie,15 000,25 000
Java Developer,Kraków,20 000,25 000
Java Developer,Warszawa,26 040,32 760
Java Developer,Kraków,10 000,17 000
Senior Java Developer,Zdalnie,23 500,26 500
Java Developer,Warszawa,23 520,
Java Developer,Warszawa,25 200,
Java Developer,Warszawa,16 800,22 680
Java Developer,Gdansk,23 520,26 880
Java Developer,Poznań,21 840,23 520
Java Developer,Zdalnie,13 014,21 690
Mid Java Developer,Warszawa,20 288,21 505
Senior Java Developer,Zdalnie,28 560,33 600
Java Developer,Warszawa,12 200,20 300
Senior Java Developer,Zdalnie,20 450,24 540
Mid Java Developer,Warszawa,23 520,29 400
Senior Java Developer,Warszawa,23 520,25 200
Java Developer,Zdalnie,15 000,20 000
Java Developer,Poznań,20 160,23 520
Senior Java Developer,Zdalnie,25 200,28 560
Junior Java Developer,Warszawa,8 500,10 500
Senior Java Developer,Warszawa,22 000,30 000
Senior Java Developer,Warszawa,27 720,32 760
Senior Java Developer,Warszawa,25 000,35 000
Senior Java Developer,Zdalnie,24 345,38 547
Senior Java Developer,Zdalnie,22 000,27 000
Java Developer,Wroclaw,17 000,18 500
Java Developer,Zdalnie,24 000,29 000
Senior Java Developer,Zdalnie,18 000,20 000
Senior Java Developer,Zdalnie,23 534,25 968
Java Developer,Zdalnie,14 000,19 000
Senior Java Developer,Zdalnie,19 000,24 000
Junior Java Developer,Zdalnie,6 500,9 000
Junior Java Developer,Warszawa,10 080,
Java Developer,Kielce,4 700,5 000
Java Developer,Kraków,21 000,24 150
Java Developer,Warszawa,11 000,16 000
Senior Java Developer,Warszawa,25 000,32 000
Java Developer,Kraków,31 920,33 600
Java Developer,Kraków,11 700,19 600
Senior Java Developer,Warszawa,23 520,26 880
Java Developer,Warszawa,25 000,32 000
Java Developer,Zdalnie,29 402,
Java Developer,Zdalnie,25 500,29 000
Java Developer,Kraków,36 120,
Senior Java Developer,Zdalnie,18 480,30 240
